video_id,title,Number of views,Number of likes,Number of comments
ByAn8DF8Ykk,Avatar: The Last Airbender | Official Trailer | Netflix,6956654,275095,23623
waJKJW_XU90,Avatar: The Last Airbender | Official Teaser | Netflix,20176259,459446,41028
PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),52268071,234694,1773
5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX,12914944,81708,8950
-egQ79OrYCs,THE LAST AIRBENDER (2010) | Hollywood.com Movie Trailers | #movies #movietrailers,10660713,22287,11070
3y8a_TFL_KQ,AVATAR Full Movie 2024: The Way of Water | Final Battle of Pandora | FullHDvideos4me (Game Movie),1175021,5023,66
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,58581848,1042388,42982
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),5992421,25021,706
l7uZtHJP958,Bạn có biết: Bom tấn Avatar 2 chờ đợi 1 thập kỷ để đi vào sản xuất?#dendocinema #reviewphim #phimhay,2759,39,0
2r71I8lvTIA,The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay),5207140,156505,27339
nsO1isT60h8,Destruction of Home Tree - AVATAR (4k Movie Clip),678483,5164,762
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2566476,19254,642
YXtWPVFk5TQ,Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer,3654876,41585,1520
mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,3533481,9670,150
XmxLG1HBNTk,AVATAR Full Movie 2023: Galactic Empire | Superhero FXL Action Movies 2023 in English (Game Movie),3264977,10600,83
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,2315397,24514,647
HR2kbOK8i6I,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,10269137,78819,0
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),1720726,21336,992
x0YqTRedPcw,If the Avatar movie was real,304116,29419,1458
0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,32681005,193112,3705
bpI3oxTEd_I,The Secret Airbender in Avatar the Last Airbender (ATLA)💨 #shorts,8879311,754251,3926
0TV7fqh-vEk,Avatar way of the water explained by an idiot,930292,53926,1425
72wSXxDBXs8,What Happened To Jake Sully&#39;s Human Body?,4500569,290602,1329
V67Ytgs6KJo,Avatar: First Movie RECAP,624632,10552,323
Xkw96oC3LnI,First Look at Team Avatar Movie Poster (2025),506418,43243,1730
U7cVZD0idBw,The Avatar wins a war with a Tsunami | The Last Airbender | CLIP,2900683,21549,951
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),367332,4393,185
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),694838,6652,274
kHNCaWjB-98,Zoe Saldana Performance Capture | AVATAR (2009) Before &amp; After CGI #shorts,24363291,1027871,3225
QohBlL3WurE,Training with the Ikran - AVATAR (4k Movie Clip),281991,3653,75
Hj6JCTAqFOo,AVATAR 3 Full Movie 2023 Fallen Kingdom HD,137824,518,16
w8PmrLG6v5I,"BOLLYWOOD BLOCKBUSTER HINDI MOVIE - राजेश खन्ना ,शबाना आजमी और सचिन की सुपरहिट हिंदी मूवी - AVTAAR",14756030,95101,2183
TKndKigKkss,Avatar the Last Airbender movie coming 2024! #avatar #avatarthelastairbender #movie #nickelodeon,410414,25792,317
lc0gis09VZs,60 MINUTES from Avatar: The Last Airbender - Book 1: Water 🌊 | @TeamAvatar,1395964,10921,131
CyUXe8xAx9U,Did you spot this in AVATAR: THE WAY OF WATER,303968,28464,373
KDqaLSK_tlI,AVATAR: Characters Real Life Height’s,2329253,71445,909
-pDP5K-xW2Y,Jake vs Colonel Quaritch - AVATAR (4k Movie Clip),1112638,9113,506
M-Vq55jBojg,What if Tsireya was a bully #avatarthewayofwater #avatar #avatar2 #kiri #digitalart #art #tsireya,2805308,211235,941
SCAiHCvNKhM,Did You Notice This in AVATAR? #shorts,2193114,176411,621
X8SVkfbt8cs,Avatar: The Way of Water,0,21756,1779
zpSueMIfc2k,AVATAR Clip - &quot;Awake&quot; (2009) James Cameron,13224870,54141,754
_hcgNjpI9BQ,This is crazy 🤯🤯🤯 #avatar #disney #shorts,1657447,0,1378
6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),3380638,25324,607
MgV9vymLIdQ,The Last Airbender is the Worst Film Ever Made — HERE&#39;S WHY,6217942,116693,14718
oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,2771409,51200,1703
jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),811949,6792,274
eF4hqOpEkhg,Avatar - Behind The Scene (Side by Side),4398073,58126,1011
bDHD1ueL4a4,The Weeknd - Nothing Is Lost (You Give Me Strength) (Official Lyric Video),29679871,650830,9651
Zy3l3Opr5l0,The Truth about Kiri in AVATAR: THE WAY OF WATER,491885,42965,322
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,551863,31012,4742
